Madame	B-PROP_PER	O
de	I-PROP_PER	O
Hautefort	I-PROP_PER	O
Voici	O	O
maintenant	O	O
une	B-NOM_PER	O
toute	I-NOM_PER	O
autre	I-NOM_PER	O
personne	I-NOM_PER	O
,	O	O
qui	B-PRON_PER	O
va	O	O
nous	B-PRON_METALEPSE	O
ramener	O	O
parmi	O	O
les	O	O
mêmes	O	O
événemens	O	O
,	O	O
mais	O	O
qui	B-PRON_PER	O
y	O	O
portera	O	O
un	O	O
bien	O	O
différent	O	O
caractère	O	O
.	O	O

C	B-PRON_PER	O	O	O
’	O	O	O	O
est	O	O	O	O
encore	O	O	O	O
une	B-NOM_PER	O	O	O
ennemie	I-NOM_PER	O	O	O
,	O	O	O	O
ce	B-PRON_PER	O	O	O
n	O	O	O	O
’	O	O	O	O
est	O	O	O	O
plus	O	O	O	O
une	O	O	B-NOM_PER	O
rivale	O	O	I-NOM_PER	O
de	O	O	I-NOM_PER	O
Richelieu	O	B-PROP_PER	I-NOM_PER	O
et	O	I-PROP_PER	I-NOM_PER	O
de	O	I-PROP_PER	I-NOM_PER	O
Mazarin	B-PROP_PER	I-PROP_PER	I-NOM_PER	O
.	O	O	O	O

La	B-NOM_PER	O	O	O
noble	I-NOM_PER	O	O	O
femme	I-NOM_PER	O	O	O
dont	B-PRON_PER	O	O	O
nous	B-PRON_METALEPSE	O	O	O
allons	O	O	O	O
retracer	O	O	O	O
la	O	O	O	O
vie	O	O	O	O
n	O	O	O	O
’	O	O	O	O
appartient	O	O	O	O
point	O	O	O	O
à	O	O	O	O
l	O	O	O	O
’	O	O	O	O
histoire	O	O	O	O
politique	O	O	O	O
;	O	O	O	O
elle	B-PRON_PER	O	O	O
n	O	O	O	O
’	O	O	O	O
est	O	O	O	O
point	O	O	O	O
de	O	O	O	O
la	O	O	B-NOM_PER	O
famille	O	O	I-NOM_PER	O
des	O	B-NOM_PER	I-NOM_PER	O
hommes	O	I-NOM_PER	I-NOM_PER	O
d	O	I-NOM_PER	I-NOM_PER	O
’	O	I-NOM_PER	I-NOM_PER	O
état	B-NOM_GPE	I-NOM_PER	I-NOM_PER	O
;	O	O	O	O
elle	B-PRON_PER	O	O	O
n	O	O	O	O
’	O	O	O	O
a	O	O	O	O
point	O	O	O	O
disputé	O	O	O	O
aux	B-NOM_PER	O	O	O
deux	I-NOM_PER	O	O	O
grands	I-NOM_PER	O	O	O
cardinaux	I-NOM_PER	O	O	O
leur	B-PRON_PER	O	O	O
pouvoir	O	O	O	O
et	O	O	O	O
le	O	B-NOM_ORG	O	O
