Vous	B-PRON_PER	O
me	O	O
demandez	O	O
,	O	O
frère	B-NOM_PER	O
,	O	O
si	O	O
j	B-PRON_PER	O
’	O	O
ai	O	O
aimé	O	O
;	O	O
oui	O	O
.	O	O

—	O	O
C	O	O
’	O	O
est	O	O
une	O	O
histoire	O	O
singulière	O	O
et	O	O
terrible	O	O
,	O	O
et	O	O
,	O	O
quoique	O	O
j	B-PRON_PER	O
’	O	O
aie	O	O
soixante	O	O
-	O	O
six	O	O
ans	O	O
,	O	O
j	B-PRON_PER	O
’	O	O
ose	O	O
à	O	O
peine	O	O
remuer	O	O
la	O	O
cendre	O	O
de	O	O
ce	O	O
souvenir	O	O
.	O	O

Je	B-PRON_PER	O
ne	O	O
veux	O	O
rien	O	O
vous	B-PRON_PER	O
refuser	O	O
,	O	O
mais	O	O
je	B-PRON_PER	O
ne	O	O
ferais	O	O
pas	O	O
à	O	O
une	O	O
âme	O	O
moins	O	O
éprouvée	O	O
un	O	O
pareil	O	O
récit	O	O
.	O	O

Ce	O	O
sont	O	O
des	O	O
événements	O	O
si	O	O
étranges	O	O
,	O	O
que	O	O
je	B-PRON_PER	O
ne	O	O
puis	O	O
croire	O	O
qu	O	O
’	O	O
ils	O	O
me	O	O
soient	O	O
arrivés	O	O
.	O	O

J	B-PRON_PER	O
’	O	O
ai	O	O
été	O	O
pendant	O	O
plus	O	O
de	O	O
trois	B-NOM_TIME	O
ans	I-NOM_TIME	O
le	O	O
jouet	O	O
d	O	O
’	O	O
une	O	O
illusion	O	O
singulière	O	O
et	O	O
diabolique	O	O
.	O	O

Moi	B-PRON_PER	O
,	O	O
pauvre	B-NOM_PER	O
prêtre	I-NOM_PER	O
de	I-NOM_PER	O
campagne	I-NOM_PER	O
,	O	O
j	B-PRON_PER	O
’	O	O
ai	O	O
mené	O	O
en	O	O
rêve	O	O
toutes	B-NOM_TIME	O
les	I-NOM_TIME	O
nuits	I-NOM_TIME	O
(	O	O
Dieu	O	O
veuille	O	O
que	O	O
ce	O	O
soit	O	O
un	O	O
rêve	O	O
!	O	O

