Audoux	O	O	O	O	O
-	O	O	O	O	O
Douce	B-PROP_PER	O	O	O	O
Lumiere	I-PROP_PER	O	O	O	O
Audoux	O	O	O	O	O
-	O	O	O	O	O
Douce	B-PROP_PER	O	O	O	O
Lumiere	I-PROP_PER	O	O	O	O
1	O	O	O	O	O
7	O	O	O	O	O
-31	O	O	O	O	O

Depuis	O	O	O	O	O
son	B-PRON_PER	O	O	O	O
lever	O	O	O	O	O
,	O	O	O	O	O
tout	O	O	O	O	O
comme	O	O	O	O	O
les	O	O	O	O	O
autres	O	O	O	O	O
jours	O	O	O	O	O
,	O	O	O	O	O
elle	B-PRON_PER	O	O	O	O
joue	O	O	O	O	O
avec	O	O	O	O	O
son	B-NOM_PER	O	O	O	O
chien	I-NOM_PER	O	O	O	O
.	O	O	O	O	O

Elle	B-PRON_PER	O	O	O	O
joue	O	O	O	O	O
à	O	O	O	O	O
courir	O	O	O	O	O
dans	O	O	O	O	O
le	B-NOM_FAC	O	O	O	O
verger	I-NOM_FAC	O	O	O	O
qui	B-PRON_FAC	O	O	O	O
entoure	O	O	O	O	O
la	B-NOM_FAC	O	O	O	O
très	I-NOM_FAC	O	O	O	O
vieille	I-NOM_FAC	O	O	O	O
maison	I-NOM_FAC	O	O	O	O
où	B-PRON_FAC	O	O	O	O
,	O	O	O	O	O
par	O	O	O	O	O
un	O	B-NOM_TIME	O	O	O
clair	O	I-NOM_TIME	O	O	O
matin	O	I-NOM_TIME	O	O	O
de	O	I-NOM_TIME	O	O	O
mai	B-NOM_TIME	I-NOM_TIME	O	O	O
,	O	O	O	O	O
sa	B-PRON_PER	O	O	O	O
venue	O	O	O	O	O
au	O	O	O	O	O
monde	O	O	O	O	O
apporta	O	O	O	O	O
aux	B-NOM_PER	O	O	O	O
siens	I-NOM_PER	O	O	O	O
l'	O	O	O	O	O
angoisse	O	O	O	O	O
,	O	O	O	O	O
le	O	O	O	O	O
deuil	O	O	O	O	O
et	O	O	O	O	O
un	O	O	O	O	O
désespoir	O	O	O	O	O
sans	O	O	O	O	O
limite	O	O	O	O	O
.	O	O	O	O	O

